Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Intermediate,Intermediate,Beginner,Beginner,Average,Beginner,Poor,Average,Poor,Average,Beginner,Intermediate,Beginner,Intermediate,Beginner,Average,Intermediate,Intermediate,Investment Banker
Professional,Average,Intermediate,Poor,Professional,Intermediate,Beginner,Average,Poor,Professional,Beginner,Average,Intermediate,Average,Poor,Poor,Professional,Professional,Investment Banker
Poor,Average,Beginner,Poor,Poor,Poor,Average,Beginner,Average,Average,Intermediate,Beginner,Intermediate,Professional,Average,Poor,Professional,Professional,Investment Banker
Poor,Intermediate,Professional,Professional,Intermediate,Average,Average,Intermediate,Poor,Professional,Beginner,Average,Intermediate,Intermediate,Professional,Beginner,Intermediate,Average,Investment Banker
Average,Beginner,Intermediate,Average,Beginner,Average,Beginner,Professional,Beginner,Beginner,Average,Beginner,Intermediate,Average,Poor,Beginner,Intermediate,Intermediate,Investment Banker
Beginner,Beginner,Average,Intermediate,Poor,Poor,Average,Professional,Average,Beginner,Beginner,Average,Beginner,Professional,Average,Beginner,Intermediate,Poor,Investment Banker
Intermediate,Beginner,Beginner,Beginner,Poor,Beginner,Average,Professional,Poor,Professional,Intermediate,Poor,Average,Beginner,Intermediate,Average,Intermediate,Beginner,Investment Banker
Professional,Beginner,Average,Beginner,Professional,Beginner,Average,Beginner,Beginner,Poor,Beginner,Intermediate,Beginner,Professional,Average,Intermediate,Beginner,Intermediate,Investment Banker
Poor,Average,Average,Professional,Intermediate,Average,Average,Beginner,Average,Beginner,Intermediate,Poor,Professional,Poor,Poor,Average,Professional,Average,Investment Banker
Professional,Intermediate,Beginner,Beginner,Intermediate,Poor,Poor,Average,Beginner,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Average,Professional,Intermediate,Investment Banker
Professional,Average,Beginner,Beginner,Poor,Beginner,Intermediate,Beginner,Professional,Intermediate,Average,Beginner,Poor,Intermediate,Poor,Average,Poor,Poor,Investment Banker
Beginner,Beginner,Poor,Professional,Beginner,Beginner,Poor,Beginner,Poor,Intermediate,Intermediate,Beginner,Average,Poor,Intermediate,Poor,Poor,Average,Investment Banker
Average,Intermediate,Poor,Beginner,Average,Average,Professional,Intermediate,Poor,Professional,Poor,Beginner,Average,Beginner,Average,Poor,Professional,Beginner,Investment Banker
Poor,Average,Average,Professional,Intermediate,Beginner,Average,Average,Professional,Poor,Beginner,Average,Intermediate,Professional,Intermediate,Intermediate,Professional,Poor,Investment Banker
Intermediate,Poor,Intermediate,Professional,Professional,Poor,Intermediate,Intermediate,Poor,Beginner,Professional,Intermediate,Average,Beginner,Beginner,Professional,Professional,Professional,Investment Banker
Beginner,Poor,Average,Beginner,Intermediate,Poor,Professional,Professional,Poor,Professional,Poor,Beginner,Average,Average,Poor,Average,Poor,Poor,Investment Banker
Beginner,Professional,Professional,Beginner,Poor,Average,Beginner,Average,Professional,Average,Beginner,Intermediate,Poor,Professional,Average,Professional,Professional,Beginner,Investment Banker
Beginner,Professional,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Poor,Intermediate,Beginner,Beginner,Average,Average,Intermediate,Beginner,Poor,Intermediate,Poor,Investment Banker
Beginner,Poor,Poor,Beginner,Professional,Professional,Average,Poor,Beginner,Average,Beginner,Intermediate,Beginner,Intermediate,Poor,Intermediate,Poor,Professional,Investment Banker
Professional,Poor,Intermediate,Beginner,Beginner,Poor,Beginner,Professional,Poor,Average,Intermediate,Professional,Average,Intermediate,Professional,Poor,Poor,Poor,Investment Banker
Beginner,Intermediate,Beginner,Poor,Intermediate,Beginner,Intermediate,Intermediate,Professional,Beginner,Beginner,Intermediate,Professional,Intermediate,Average,Beginner,Poor,Intermediate,Investment Banker
Professional,Professional,Professional,Poor,Poor,Professional,Intermediate,Professional,Average,Poor,Average,Intermediate,Professional,Poor,Intermediate,Average,Average,Average,Investment Banker
Average,Average,Professional,Poor,Beginner,Beginner,Poor,Professional,Beginner,Intermediate,Average,Professional,Intermediate,Average,Intermediate,Intermediate,Intermediate,Beginner,Investment Banker
Professional,Average,Professional,Intermediate,Professional,Intermediate,Intermediate,Poor,Average,Intermediate,Beginner,Beginner,Intermediate,Average,Poor,Average,Professional,Intermediate,Investment Banker
Average,Beginner,Poor,Beginner,Poor,Poor,Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Average,Beginner,Professional,Intermediate,Professional,Average,Investment Banker
Average,Average,Average,Intermediate,Intermediate,Professional,Poor,Average,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Beginner,Intermediate,Average,Beginner,Investment Banker
Poor,Poor,Poor,Average,Intermediate,Poor,Intermediate,Average,Poor,Beginner,Poor,Beginner,Beginner,Intermediate,Average,Intermediate,Beginner,Average,Investment Banker
Intermediate,Professional,Average,Intermediate,Professional,Beginner,Professional,Intermediate,Poor,Poor,Poor,Average,Average,Average,Beginner,Intermediate,Poor,Poor,Investment Banker
Average,Beginner,Professional,Poor,Professional,Professional,Average,Intermediate,Average,Intermediate,Professional,Average,Beginner,Professional,Beginner,Beginner,Professional,Average,Investment Banker
Average,Intermediate,Average,Professional,Beginner,Average,Professional,Professional,Average,Intermediate,Intermediate,Average,Beginner,Professional,Beginner,Professional,Average,Intermediate,Investment Banker
Beginner,Average,Intermediate,Average,Beginner,Average,Intermediate,Intermediate,Intermediate,Beginner,Poor,Professional,Average,Intermediate,Professional,Professional,Professional,Average,Investment Banker
Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Poor,Professional,Beginner,Intermediate,Beginner,Professional,Professional,Poor,Average,Poor,Professional,Poor,Intermediate,Investment Banker
Beginner,Poor,Average,Beginner,Professional,Professional,Professional,Beginner,Professional,Average,Poor,Average,Professional,Poor,Professional,Poor,Beginner,Beginner,Investment Banker
Poor,Beginner,Average,Intermediate,Intermediate,Average,Intermediate,Intermediate,Poor,Poor,Professional,Professional,Intermediate,Poor,Poor,Beginner,Beginner,Beginner,Investment Banker
Average,Poor,Intermediate,Professional,Professional,Intermediate,Average,Professional,Poor,Poor,Beginner,Beginner,Intermediate,Professional,Professional,Beginner,Beginner,Average,Investment Banker
Average,Beginner,Beginner,Professional,Beginner,Professional,Average,Professional,Professional,Average,Average,Average,Beginner,Beginner,Intermediate,Poor,Average,Intermediate,Investment Banker
Beginner,Intermediate,Average,Beginner,Poor,Poor,Intermediate,Intermediate,Professional,Average,Professional,Average,Intermediate,Intermediate,Poor,Intermediate,Poor,Poor,Investment Banker
Poor,Professional,Intermediate,Poor,Average,Beginner,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Poor,Average,Intermediate,Beginner,Average,Beginner,Professional,Investment Banker
Poor,Poor,Beginner,Beginner,Average,Poor,Average,Professional,Beginner,Poor,Poor,Poor,Beginner,Poor,Beginner,Average,Intermediate,Poor,Investment Banker
Intermediate,Professional,Intermediate,Average,Professional,Average,Intermediate,Average,Professional,Professional,Average,Intermediate,Poor,Average,Beginner,Poor,Average,Intermediate,Investment Banker
Average,Poor,Professional,Professional,Professional,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Beginner,Intermediate,Poor,Professional,Average,Professional,Intermediate,Investment Banker
Poor,Beginner,Intermediate,Professional,Professional,Poor,Professional,Average,Poor,Poor,Average,Professional,Beginner,Intermediate,Intermediate,Average,Beginner,Average,Investment Banker
Intermediate,Poor,Intermediate,Average,Poor,Poor,Beginner,Average,Professional,Professional,Beginner,Intermediate,Average,Beginner,Poor,Professional,Average,Professional,Investment Banker
Average,Beginner,Professional,Average,Intermediate,Professional,Professional,Professional,Professional,Poor,Professional,Average,Poor,Poor,Poor,Intermediate,Beginner,Average,Investment Banker
Beginner,Poor,Beginner,Professional,Professional,Average,Beginner,Professional,Beginner,Beginner,Average,Beginner,Intermediate,Poor,Poor,Poor,Average,Beginner,Investment Banker
Professional,Average,Intermediate,Professional,Beginner,Average,Average,Beginner,Average,Professional,Beginner,Poor,Beginner,Average,Average,Beginner,Beginner,Average,Investment Banker
Beginner,Intermediate,Professional,Poor,Intermediate,Professional,Poor,Beginner,Poor,Professional,Professional,Beginner,Beginner,Poor,Beginner,Poor,Professional,Poor,Investment Banker
Intermediate,Beginner,Average,Professional,Professional,Poor,Beginner,Beginner,Intermediate,Beginner,Average,Professional,Professional,Professional,Poor,Poor,Average,Professional,Investment Banker
Professional,Professional,Professional,Intermediate,Professional,Professional,Intermediate,Professional,Beginner,Professional,Professional,Average,Poor,Average,Professional,Beginner,Poor,Average,Investment Banker
Average,Average,Average,Professional,Beginner,Poor,Poor,Intermediate,Average,Beginner,Beginner,Professional,Poor,Intermediate,Professional,Professional,Intermediate,Average,Investment Banker
Poor,Professional,Average,Poor,Professional,Intermediate,Beginner,Average,Average,Beginner,Poor,Beginner,Professional,Poor,Professional,Average,Beginner,Professional,Investment Banker
Professional,Poor,Poor,Average,Beginner,Beginner,Poor,Intermediate,Beginner,Average,Professional,Poor,Professional,Average,Beginner,Professional,Beginner,Professional,Investment Banker
Professional,Beginner,Poor,Professional,Average,Intermediate,Intermediate,Intermediate,Poor,Average,Beginner,Poor,Poor,Professional,Poor,Professional,Average,Beginner,Investment Banker
Intermediate,Professional,Average,Professional,Intermediate,Average,Intermediate,Professional,Intermediate,Average,Intermediate,Poor,Average,Beginner,Intermediate,Average,Poor,Intermediate,Investment Banker
Poor,Beginner,Professional,Professional,Professional,Beginner,Poor,Professional,Beginner,Average,Poor,Average,Average,Average,Average,Poor,Beginner,Poor,Investment Banker
Professional,Intermediate,Average,Beginner,Intermediate,Intermediate,Beginner,Average,Intermediate,Intermediate,Beginner,Beginner,Poor,Poor,Average,Average,Average,Poor,Investment Banker
Intermediate,Average,Average,Average,Beginner,Average,Average,Average,Intermediate,Poor,Average,Average,Average,Professional,Professional,Intermediate,Professional,Average,Investment Banker
Beginner,Professional,Beginner,Poor,Poor,Poor,Professional,Beginner,Average,Average,Professional,Average,Intermediate,Intermediate,Average,Professional,Poor,Beginner,Investment Banker
Intermediate,Beginner,Professional,Beginner,Average,Professional,Professional,Average,Intermediate,Intermediate,Professional,Beginner,Professional,Beginner,Average,Average,Average,Professional,Investment Banker
Intermediate,Average,Average,Average,Poor,Poor,Intermediate,Average,Professional,Beginner,Poor,Beginner,Poor,Intermediate,Professional,Intermediate,Intermediate,Beginner,Investment Banker
Beginner,Intermediate,Professional,Average,Average,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Professional,Poor,Professional,Professional,Beginner,Beginner,Professional,Investment Banker
Intermediate,Intermediate,Poor,Beginner,Average,Beginner,Intermediate,Beginner,Intermediate,Beginner,Poor,Intermediate,Average,Professional,Average,Intermediate,Beginner,Poor,Investment Banker
Average,Beginner,Poor,Beginner,Intermediate,Average,Average,Poor,Average,Average,Poor,Beginner,Poor,Professional,Poor,Intermediate,Professional,Poor,Investment Banker
Average,Poor,Average,Beginner,Average,Beginner,Professional,Intermediate,Intermediate,Professional,Average,Intermediate,Professional,Poor,Average,Intermediate,Poor,Beginner,Investment Banker
Poor,Beginner,Average,Average,Intermediate,Professional,Intermediate,Beginner,Poor,Poor,Average,Average,Professional,Beginner,Average,Beginner,Professional,Average,Investment Banker
Average,Intermediate,Beginner,Poor,Average,Average,Poor,Intermediate,Poor,Intermediate,Beginner,Intermediate,Professional,Professional,Professional,Poor,Average,Poor,Investment Banker
Beginner,Poor,Intermediate,Intermediate,Professional,Professional,Professional,Average,Poor,Poor,Professional,Professional,Poor,Average,Professional,Average,Beginner,Intermediate,Investment Banker
Beginner,Average,Beginner,Average,Intermediate,Professional,Average,Poor,Professional,Poor,Poor,Average,Beginner,Professional,Poor,Poor,Intermediate,Intermediate,Investment Banker
Poor,Professional,Professional,Poor,Professional,Beginner,Intermediate,Average,Professional,Beginner,Beginner,Professional,Average,Average,Intermediate,Average,Intermediate,Poor,Investment Banker
Average,Average,Professional,Intermediate,Average,Intermediate,Beginner,Average,Beginner,Beginner,Poor,Professional,Average,Average,Professional,Professional,Poor,Average,Investment Banker
Poor,Poor,Intermediate,Beginner,Beginner,Beginner,Beginner,Average,Poor,Poor,Beginner,Poor,Beginner,Professional,Professional,Beginner,Poor,Professional,Investment Banker
Intermediate,Poor,Poor,Professional,Average,Intermediate,Beginner,Average,Beginner,Average,Average,Professional,Average,Intermediate,Poor,Beginner,Average,Poor,Investment Banker
Poor,Intermediate,Intermediate,Poor,Poor,Poor,Professional,Poor,Average,Poor,Poor,Beginner,Intermediate,Average,Poor,Poor,Beginner,Average,Investment Banker
Average,Average,Professional,Professional,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Professional,Poor,Professional,Poor,Beginner,Intermediate,Poor,Professional,Investment Banker
Average,Average,Intermediate,Beginner,Average,Average,Average,Average,Professional,Average,Intermediate,Average,Professional,Beginner,Average,Professional,Poor,Beginner,Investment Banker
Intermediate,Intermediate,Beginner,Professional,Professional,Professional,Beginner,Poor,Professional,Poor,Beginner,Average,Intermediate,Beginner,Average,Intermediate,Average,Poor,Investment Banker
